date,predicted_yield
2024-07-01,105.5
2024-07-02,106.0
2024-07-03,105.8
2024-07-04,105.2
2024-07-05,104.9
2024-07-06,104.5
2024-07-07,104.8
2024-07-08,104.2
2024-07-09,104.0
2024-07-10,103.8
2024-07-11,103.5
2024-07-12,103.2
2024-07-13,103.0
2024-07-14,102.8
2024-07-15,102.5
2024-07-16,102.2
2024-07-17,101.8
2024-07-18,101.5
2024-07-19,101.2
2024-07-20,100.8
2024-07-21,100.5
2024-07-22,100.2
2024-07-23,99.8
2024-07-24,99.5
2024-07-25,99.2
2024-07-26,98.8
2024-07-27,98.5
2024-07-28,98.2
2024-07-29,97.8
2024-07-30,97.5
2024-07-31,97.0
